date,region,tonnes_including_us,tonnes_excluding_us,world_total_including_us,world_total_excluding_us,united_states_tonnes,reported_countries,carried_forward_countries,unavailable_countries
2000-12-31,North America,8173.78,36.83,28592.37,20455.42,8136.95,117,0,6
2000-12-31,Western Europe,15037.91,15037.91,28592.37,20455.42,8136.95,117,0,6
2000-12-31,East Asia,1598.65,1598.65,28592.37,20455.42,8136.95,117,0,6
2000-12-31,Central and Eastern Europe,842.18,842.18,28592.37,20455.42,8136.95,117,0,6
2000-12-31,Central Asia,59.95,59.95,28592.37,20455.42,8136.95,117,0,6
2000-12-31,South Asia,441.39,441.39,28592.37,20455.42,8136.95,117,0,6
2000-12-31,Middle East & North Africa,997.60,997.60,28592.37,20455.42,8136.95,117,0,6
2000-12-31,South East Asia,573.61,573.61,28592.37,20455.42,8136.95,117,0,6
2000-12-31,Latin America & Caribbean,565.68,565.68,28592.37,20455.42,8136.95,117,0,6
2000-12-31,Sub-Saharan Africa,221.88,221.88,28592.37,20455.42,8136.95,117,0,6
2000-12-31,Australasia / Oceania,79.74,79.74,28592.37,20455.42,8136.95,117,0,6
2001-03-31,North America,8173.33,36.20,28427.38,20290.25,8137.13,117,0,6
2001-03-31,Western Europe,14897.01,14897.01,28427.38,20290.25,8137.13,117,0,6
2001-03-31,East Asia,1599.60,1599.60,28427.38,20290.25,8137.13,117,0,6
2001-03-31,Central and Eastern Europe,848.57,848.57,28427.38,20290.25,8137.13,117,0,6
2001-03-31,Central Asia,59.90,59.90,28427.38,20290.25,8137.13,117,0,6
2001-03-31,South Asia,440.48,440.48,28427.38,20290.25,8137.13,117,0,6
2001-03-31,Middle East & North Africa,997.39,997.39,28427.38,20290.25,8137.13,117,0,6
2001-03-31,South East Asia,577.22,577.22,28427.38,20290.25,8137.13,117,0,6
2001-03-31,Latin America & Caribbean,533.19,533.19,28427.38,20290.25,8137.13,117,0,6
2001-03-31,Sub-Saharan Africa,220.95,220.95,28427.38,20290.25,8137.13,117,0,6
2001-03-31,Australasia / Oceania,79.74,79.74,28427.38,20290.25,8137.13,117,0,6
2001-06-30,North America,8171.52,36.20,28392.23,20256.91,8135.32,117,0,6
2001-06-30,Western Europe,14825.94,14825.94,28392.23,20256.91,8135.32,117,0,6
2001-06-30,East Asia,1603.20,1603.20,28392.23,20256.91,8135.32,117,0,6
2001-06-30,Central and Eastern Europe,887.67,887.67,28392.23,20256.91,8135.32,117,0,6
2001-06-30,Central Asia,60.09,60.09,28392.23,20256.91,8135.32,117,0,6
2001-06-30,South Asia,438.67,438.67,28392.23,20256.91,8135.32,117,0,6
2001-06-30,Middle East & North Africa,997.63,997.63,28392.23,20256.91,8135.32,117,0,6
2001-06-30,South East Asia,579.22,579.22,28392.23,20256.91,8135.32,117,0,6
2001-06-30,Latin America & Caribbean,528.23,528.23,28392.23,20256.91,8135.32,117,0,6
2001-06-30,Sub-Saharan Africa,220.32,220.32,28392.23,20256.91,8135.32,117,0,6
2001-06-30,Australasia / Oceania,79.74,79.74,28392.23,20256.91,8135.32,117,0,6
2001-09-30,North America,8184.57,35.52,28279.32,20130.27,8149.05,117,0,6
2001-09-30,Western Europe,14698.39,14698.39,28279.32,20130.27,8149.05,117,0,6
2001-09-30,East Asia,1603.78,1603.78,28279.32,20130.27,8149.05,117,0,6
2001-09-30,Central and Eastern Europe,886.50,886.50,28279.32,20130.27,8149.05,117,0,6
2001-09-30,Central Asia,60.18,60.18,28279.32,20130.27,8149.05,117,0,6
2001-09-30,South Asia,439.27,439.27,28279.32,20130.27,8149.05,117,0,6
2001-09-30,Middle East & North Africa,997.67,997.67,28279.32,20130.27,8149.05,117,0,6
2001-09-30,South East Asia,592.89,592.89,28279.32,20130.27,8149.05,117,0,6
2001-09-30,Latin America & Caribbean,517.92,517.92,28279.32,20130.27,8149.05,117,0,6
2001-09-30,Sub-Saharan Africa,218.41,218.41,28279.32,20130.27,8149.05,117,0,6
2001-09-30,Australasia / Oceania,79.74,79.74,28279.32,20130.27,8149.05,117,0,6
2001-12-31,North America,8181.77,32.72,28303.76,20154.71,8149.05,117,0,6
2001-12-31,Western Europe,14605.58,14605.58,28303.76,20154.71,8149.05,117,0,6
2001-12-31,East Asia,1709.29,1709.29,28303.76,20154.71,8149.05,117,0,6
2001-12-31,Central and Eastern Europe,891.07,891.07,28303.76,20154.71,8149.05,117,0,6
2001-12-31,Central Asia,59.99,59.99,28303.76,20154.71,8149.05,117,0,6
2001-12-31,South Asia,438.93,438.93,28303.76,20154.71,8149.05,117,0,6
2001-12-31,Middle East & North Africa,997.71,997.71,28303.76,20154.71,8149.05,117,0,6
2001-12-31,South East Asia,602.25,602.25,28303.76,20154.71,8149.05,117,0,6
2001-12-31,Latin America & Caribbean,522.25,522.25,28303.76,20154.71,8149.05,117,0,6
2001-12-31,Sub-Saharan Africa,215.18,215.18,28303.76,20154.71,8149.05,117,0,6
2001-12-31,Australasia / Oceania,79.74,79.74,28303.76,20154.71,8149.05,117,0,6
2002-03-31,North America,8178.82,29.77,28190.55,20041.50,8149.05,118,0,5
2002-03-31,Western Europe,14486.71,14486.71,28190.55,20041.50,8149.05,118,0,5
2002-03-31,East Asia,1705.28,1705.28,28190.55,20041.50,8149.05,118,0,5
2002-03-31,Central and Eastern Europe,895.62,895.62,28190.55,20041.50,8149.05,118,0,5
2002-03-31,Central Asia,57.64,57.64,28190.55,20041.50,8149.05,118,0,5
2002-03-31,South Asia,438.21,438.21,28190.55,20041.50,8149.05,118,0,5
2002-03-31,Middle East & North Africa,997.74,997.74,28190.55,20041.50,8149.05,118,0,5
2002-03-31,South East Asia,603.27,603.27,28190.55,20041.50,8149.05,118,0,5
2002-03-31,Latin America & Caribbean,532.19,532.19,28190.55,20041.50,8149.05,118,0,5
2002-03-31,Sub-Saharan Africa,215.33,215.33,28190.55,20041.50,8149.05,118,0,5
2002-03-31,Australasia / Oceania,79.74,79.74,28190.55,20041.50,8149.05,118,0,5
2002-06-30,North America,8175.86,26.81,28007.92,19858.87,8149.05,118,0,5
2002-06-30,Western Europe,14376.34,14376.34,28007.92,19858.87,8149.05,118,0,5
2002-06-30,East Asia,1704.23,1704.23,28007.92,19858.87,8149.05,118,0,5
2002-06-30,Central and Eastern Europe,856.03,856.03,28007.92,19858.87,8149.05,118,0,5
2002-06-30,Central Asia,56.75,56.75,28007.92,19858.87,8149.05,118,0,5
2002-06-30,South Asia,438.35,438.35,28007.92,19858.87,8149.05,118,0,5
2002-06-30,Middle East & North Africa,988.79,988.79,28007.92,19858.87,8149.05,118,0,5
2002-06-30,South East Asia,610.28,610.28,28007.92,19858.87,8149.05,118,0,5
2002-06-30,Latin America & Caribbean,504.66,504.66,28007.92,19858.87,8149.05,118,0,5
2002-06-30,Sub-Saharan Africa,216.89,216.89,28007.92,19858.87,8149.05,118,0,5
2002-06-30,Australasia / Oceania,79.74,79.74,28007.92,19858.87,8149.05,118,0,5
2002-09-30,North America,8173.09,24.04,27927.15,19778.10,8149.05,118,0,5
2002-09-30,Western Europe,14303.11,14303.11,27927.15,19778.10,8149.05,118,0,5
2002-09-30,East Asia,1708.06,1708.06,27927.15,19778.10,8149.05,118,0,5
2002-09-30,Central and Eastern Europe,853.45,853.45,27927.15,19778.10,8149.05,118,0,5
2002-09-30,Central Asia,56.77,56.77,27927.15,19778.10,8149.05,118,0,5
2002-09-30,South Asia,438.16,438.16,27927.15,19778.10,8149.05,118,0,5
2002-09-30,Middle East & North Africa,988.81,988.81,27927.15,19778.10,8149.05,118,0,5
2002-09-30,South East Asia,618.07,618.07,27927.15,19778.10,8149.05,118,0,5
2002-09-30,Latin America & Caribbean,496.24,496.24,27927.15,19778.10,8149.05,118,0,5
2002-09-30,Sub-Saharan Africa,211.65,211.65,27927.15,19778.10,8149.05,118,0,5
2002-09-30,Australasia / Oceania,79.74,79.74,27927.15,19778.10,8149.05,118,0,5
2002-12-31,North America,8167.68,18.63,27927.37,19778.32,8149.05,118,0,5
2002-12-31,Western Europe,14193.56,14193.56,27927.37,19778.32,8149.05,118,0,5
2002-12-31,East Asia,1807.29,1807.29,27927.37,19778.32,8149.05,118,0,5
2002-12-31,Central and Eastern Europe,861.26,861.26,27927.37,19778.32,8149.05,118,0,5
2002-12-31,Central Asia,55.72,55.72,27927.37,19778.32,8149.05,118,0,5
2002-12-31,South Asia,437.85,437.85,27927.37,19778.32,8149.05,118,0,5
2002-12-31,Middle East & North Africa,988.86,988.86,27927.37,19778.32,8149.05,118,0,5
2002-12-31,South East Asia,626.14,626.14,27927.37,19778.32,8149.05,118,0,5
2002-12-31,Latin America & Caribbean,499.17,499.17,27927.37,19778.32,8149.05,118,0,5
2002-12-31,Sub-Saharan Africa,210.10,210.10,27927.37,19778.32,8149.05,118,0,5
2002-12-31,Australasia / Oceania,79.74,79.74,27927.37,19778.32,8149.05,118,0,5
2003-03-31,North America,8150.47,15.80,27800.48,19665.81,8134.67,118,0,5
2003-03-31,Western Europe,14083.80,14083.80,27800.48,19665.81,8134.67,118,0,5
2003-03-31,East Asia,1805.80,1805.80,27800.48,19665.81,8134.67,118,0,5
2003-03-31,Central and Eastern Europe,863.96,863.96,27800.48,19665.81,8134.67,118,0,5
2003-03-31,Central Asia,55.26,55.26,27800.48,19665.81,8134.67,118,0,5
2003-03-31,South Asia,435.52,435.52,27800.48,19665.81,8134.67,118,0,5
2003-03-31,Middle East & North Africa,988.87,988.87,27800.48,19665.81,8134.67,118,0,5
2003-03-31,South East Asia,630.46,630.46,27800.48,19665.81,8134.67,118,0,5
2003-03-31,Latin America & Caribbean,501.47,501.47,27800.48,19665.81,8134.67,118,0,5
2003-03-31,Sub-Saharan Africa,205.13,205.13,27800.48,19665.81,8134.67,118,0,5
2003-03-31,Australasia / Oceania,79.74,79.74,27800.48,19665.81,8134.67,118,0,5
2003-06-30,North America,8144.93,9.61,27664.51,19529.19,8135.32,118,0,5
2003-06-30,Western Europe,13967.36,13967.36,27664.51,19529.19,8135.32,118,0,5
2003-06-30,East Asia,1806.66,1806.66,27664.51,19529.19,8135.32,118,0,5
2003-06-30,Central and Eastern Europe,861.28,861.28,27664.51,19529.19,8135.32,118,0,5
2003-06-30,Central Asia,73.92,73.92,27664.51,19529.19,8135.32,118,0,5
