frequency,date,region,usd_flow,tonnes_demand
Yearly,2003-12-31,North America,111625970.2100000083,9.5478171
Yearly,2003-12-31,Europe,274568416.5699999928,23.48493829
Yearly,2003-12-31,Asia,0,0
Yearly,2003-12-31,Other,110883855.6799999923,9.41763786
Yearly,2004-12-31,North America,1356740801.6399998665,95.05531451
Yearly,2004-12-31,Europe,365298861.6100000143,27.7387953
Yearly,2004-12-31,Asia,0,0
Yearly,2004-12-31,Other,37112739.2300000042,2.66493024
Yearly,2005-12-31,North America,2910292268.3099999428,200.73859837
Yearly,2005-12-31,Europe,201591610,12.32388287
Yearly,2005-12-31,Asia,0,0
Yearly,2005-12-31,Other,93737851.2100000083,5.83843735
Yearly,2006-12-31,North America,4033773588.0700001717,212.15634826
Yearly,2006-12-31,Europe,735360890.5999999046,39.21726103
Yearly,2006-12-31,Asia,0,0
Yearly,2006-12-31,Other,108385580.0600000024,5.70308588
Yearly,2007-12-31,North America,4336453766.8599996567,186.09606125
Yearly,2007-12-31,Europe,924081426.439999938,41.71926033
Yearly,2007-12-31,Asia,69692359.8700000048,4.38469973
Yearly,2007-12-31,Other,469523707.9499999881,19.86506597
Yearly,2008-12-31,North America,5056712193.1999998093,166.40241107
Yearly,2008-12-31,Europe,4504079056.4099998474,160.14306012
Yearly,2008-12-31,Asia,48292170.1099999994,1.02603864
Yearly,2008-12-31,Other,-29131475.6600000001,-1.07491904
Yearly,2009-12-31,North America,12466313022.2700004578,395.7889275
Yearly,2009-12-31,Europe,6395556543.0500001907,212.91723014
Yearly,2009-12-31,Asia,88617091.8699999899,2.50676476
Yearly,2009-12-31,Other,890196814.5199999809,28.09749766
Yearly,2010-12-31,North America,8786932210.6300010681,220.02246469
Yearly,2010-12-31,Europe,6850047882.9000005722,178.36626206
Yearly,2010-12-31,Asia,464941442.8600000143,11.46484014
Yearly,2010-12-31,Other,-101186994.8400000036,-3.01821492
Yearly,2011-12-31,North America,5046942394.7600002289,83.8525655
Yearly,2011-12-31,Europe,7761318901.7399997711,145.11730565
Yearly,2011-12-31,Asia,1229880354.1600000858,23.9933476
Yearly,2011-12-31,Other,-556609837.1099998951,-11.08206773
Yearly,2012-12-31,North America,9285598766.7999992371,157.98244134
Yearly,2012-12-31,Europe,7248470478.3899993896,122.75089397
