frequency,date,region,usd_aum,tonnes_holdings,gold_price_usd_per_oz
Yearly,2003-12-31,North America,127776032.7600000054,9.55,363.64
Yearly,2003-12-31,Europe,314293017.3000000119,23.48,363.64
Yearly,2003-12-31,Asia,,,363.64
Yearly,2003-12-31,Other,126294249.9699999988,9.42,363.64
Yearly,2004-12-31,North America,1473024124.75,104.6,409.61
Yearly,2004-12-31,Europe,721334000,51.22,409.61
Yearly,2004-12-31,Asia,,,409.61
Yearly,2004-12-31,Other,170147050.400000006,12.08,409.61
Yearly,2005-12-31,North America,5036102833.1800003052,305.34,445.06
Yearly,2005-12-31,Europe,1048112000,63.55,445.06
Yearly,2005-12-31,Asia,,,445.06
Yearly,2005-12-31,Other,295577110.6700000167,17.92,445.06
Yearly,2006-12-31,North America,10574367719.0900001526,517.5,604.02
Yearly,2006-12-31,Europe,2090121140,102.76,604.02
Yearly,2006-12-31,Asia,,,604.02
Yearly,2006-12-31,Other,482648195.3799999952,23.62,604.02
Yearly,2007-12-31,North America,18920687433.9700012207,703.59,696.54
Yearly,2007-12-31,Europe,3877168622.4400000572,144.48,696.54
Yearly,2007-12-31,Asia,118564500,4.38,696.54
Yearly,2007-12-31,Other,1169393174.4800000191,43.49,696.54
Yearly,2008-12-31,North America,24198284099.7900009155,870,871.77
Yearly,2008-12-31,Europe,8471802493.7399997711,304.63,871.77
Yearly,2008-12-31,Asia,149455540.0099999905,5.41,871.77
Yearly,2008-12-31,Other,1179874097.1800000668,42.41,871.77
Yearly,2009-12-31,North America,44928326762.9100036621,1265.79,972.81
Yearly,2009-12-31,Europe,18369940542.0600013733,517.54,972.81
Yearly,2009-12-31,Asia,284266470,7.92,972.81
Yearly,2009-12-31,Other,2502773469.2600002289,70.51,972.81
Yearly,2010-12-31,North America,67367409334.2300033569,1485.81,1225.59
Yearly,2010-12-31,Europe,31552999862.1800003052,695.91,1225.59
Yearly,2010-12-31,Asia,889973936.9400000572,19.38,1225.59
Yearly,2010-12-31,Other,3060196090.3400001526,67.49,1225.59
Yearly,2011-12-31,North America,79017006133.7200012207,1569.66,1571.21
Yearly,2011-12-31,Europe,41662416606.0400009155,841.03,1571.21
Yearly,2011-12-31,Asia,2207251467.3899998665,43.38,1571.21
Yearly,2011-12-31,Other,2794054702.0999999046,56.41,1571.21
Yearly,2012-12-31,North America,92426897784.0599975586,1727.64,1667.65
Yearly,2012-12-31,Europe,51561052727.7200012207,963.78,1667.65
Yearly,2012-12-31,Asia,2732943359.7399997711,49.54,1667.65
Yearly,2012-12-31,Other,3319542197.1900000572,62.05,1667.65
Yearly,2013-12-31,North America,42833848991.5599975586,1108.85,1410.37
Yearly,2013-12-31,Europe,25746474343.7700004578,666.5,1410.37
Yearly,2013-12-31,Asia,1935792763.8800001144,43.46,1410.37
Yearly,2013-12-31,Other,2123666545.5,54.98,1410.37
Yearly,2014-12-31,North America,38651702138.7399978638,1002.46,1265.31
Yearly,2014-12-31,Europe,23986023476.8300018311,622.1,1265.31
Yearly,2014-12-31,Asia,1645717869.2000000477,40.03,1265.31
Yearly,2014-12-31,Other,1809823097.4700000286,46.94,1265.31
Yearly,2015-12-31,North America,31379712545.7700004578,918.82,1159.25
Yearly,2015-12-31,Europe,19863523975.3699989319,581.62,1159.25
Yearly,2015-12-31,Asia,1687889006.5399999619,46.85,1159.25
Yearly,2015-12-31,Other,1387692485.4600000381,40.63,1159.25
Yearly,2016-12-31,North America,42702755738.1500015259,1145.89,1248.38
Yearly,2016-12-31,Europe,31765294099.7299995422,852.4,1248.38
Yearly,2016-12-31,Asia,3356475287.3800001144,87.01,1248.38
Yearly,2016-12-31,Other,1703518945.6600000858,45.71,1248.38
Yearly,2017-12-31,North America,51727574956.3700027466,1240.96,1257.43
Yearly,2017-12-31,Europe,43046621230.4499969482,1032.7,1257.43
Yearly,2017-12-31,Asia,3541528669.8499999046,82.96,1257.43
Yearly,2017-12-31,Other,1879590236.0799999237,45.09,1257.43
Yearly,2018-12-31,North America,50628809978.0500030518,1228.68,1269.01
Yearly,2018-12-31,Europe,46627492207.1399993896,1131.57,1269.01
Yearly,2018-12-31,Asia,3267175852.9299998283,77.62,1269.01
Yearly,2018-12-31,Other,1407272217.0499999523,34.1,1269.01
Yearly,2019-12-31,North America,70380154941.9600067139,1437.34,1392.47
Yearly,2019-12-31,Europe,64436643468.8799972534,1315.96,1392.47
Yearly,2019-12-31,Asia,3879947710.6599998474,77.55,1392.47
Yearly,2019-12-31,Other,2186593321.9200000763,44.72,1392.47
Yearly,2020-12-31,North America,121618344076.5700073242,2000.29,1769.94
Yearly,2020-12-31,Europe,96769665094.9199981689,1591.6,1769.94
Yearly,2020-12-31,Asia,7151927949.5,115.14,1769.94
Yearly,2020-12-31,Other,3714134752.7899999619,61.09,1769.94
Yearly,2021-12-31,North America,105273654335.2100067139,1799.01,1798.62
Yearly,2021-12-31,Europe,92444888862.3300018311,1579.78,1798.62
Yearly,2021-12-31,Asia,8424958955.8000001907,140.16,1798.62
Yearly,2021-12-31,Other,3542808343.4899997711,60.54,1798.62
Yearly,2022-12-31,North America,100477467660.4499969482,1724.39,1801.51
Yearly,2022-12-31,Europe,91293754206.9900054932,1566.78,1801.51
Yearly,2022-12-31,Asia,7332463158.2899999619,119.3,1801.51
Yearly,2022-12-31,Other,3541043380.1900000572,60.77,1801.51
Yearly,2023-12-31,North America,108907559363.7299957275,1642.45,1942.64
Yearly,2023-12-31,Europe,92026007850.3200073242,1387.86,1942.64
Yearly,2023-12-31,Asia,9723148445.0499992371,139.26,1942.64
Yearly,2023-12-31,Other,3954340968.9200000763,59.64,1942.64
Yearly,2024-12-31,North America,138548612358.2099914551,1650.48,2387.08
Yearly,2024-12-31,Europe,108268852784.1300048828,1289.82,2387.08
Yearly,2024-12-31,Asia,18926839622.25,221.44,2387.08
Yearly,2024-12-31,Other,5401193110.75,64.34,2387.08
Yearly,2025-12-31,North America,290190194380.2299804688,2095.16,3441.44
Yearly,2025-12-31,Europe,197081826987.5299987793,1422.93,3441.44
Yearly,2025-12-31,Asia,61996761279.4400024414,438.09,3441.44
Yearly,2025-12-31,Other,10142109635.8600006104,73.22,3441.44
Yearly,2026-07-31,North America,263450632543.299987793,2034.9,4594.11
Yearly,2026-07-31,Europe,187235004206.7699890137,1446.3,4594.11
Yearly,2026-07-31,Asia,69429262104.7799987793,512.39,4594.11
Yearly,2026-07-31,Other,9646798714.7399997711,74.45,4594.11
Quarterly,2003-03-31,North America,88248405.8700000048,8.2,351.95
Quarterly,2003-03-31,Europe,,,351.95
Quarterly,2003-03-31,Asia,,,351.95
Quarterly,2003-03-31,Other,335010,0.03,351.95
Quarterly,2003-06-30,North America,103545026.6800000072,9.31,346.55
Quarterly,2003-06-30,Europe,,,346.55
Quarterly,2003-06-30,Asia,,,346.55
Quarterly,2003-06-30,Other,32229839.9600000009,2.9,346.55
Quarterly,2003-09-30,North America,116114076.1700000018,9.31,363.1
Quarterly,2003-09-30,Europe,,,363.1
Quarterly,2003-09-30,Asia,,,363.1
Quarterly,2003-09-30,Other,76338941.0699999928,6.12,363.1
Quarterly,2003-12-31,North America,127776032.7600000054,9.55,392.35
Quarterly,2003-12-31,Europe,314293017.3000000119,23.48,392.35
Quarterly,2003-12-31,Asia,,,392.35
Quarterly,2003-12-31,Other,126294249.9699999988,9.42,392.35
Quarterly,2004-03-31,North America,130062958.8900000006,9.55,408.58
Quarterly,2004-03-31,Europe,546345498.5,40.11,408.58
Quarterly,2004-03-31,Asia,,,408.58
Quarterly,2004-03-31,Other,129772528.1299999952,9.53,408.58
Quarterly,2004-06-30,North America,121498503.799999997,9.55,394
Quarterly,2004-06-30,Europe,521728000,41,394
Quarterly,2004-06-30,Asia,,,394
Quarterly,2004-06-30,Other,120151959.0400000066,9.44,394
Quarterly,2004-09-30,North America,127591849.2199999988,9.55,401.36
Quarterly,2004-09-30,Europe,523274000,39.16,401.36
Quarterly,2004-09-30,Asia,,,401.36
Quarterly,2004-09-30,Other,126694206.4200000018,9.48,401.36
Quarterly,2004-12-31,North America,1473024124.75,104.6,434.24
Quarterly,2004-12-31,Europe,721334000,51.22,434.24
Quarterly,2004-12-31,Asia,,,434.24
Quarterly,2004-12-31,Other,170147050.400000006,12.08,434.24
Quarterly,2005-03-31,North America,2687084279.25,195.5,427.45
Quarterly,2005-03-31,Europe,671381000,48.85,427.45
Quarterly,2005-03-31,Asia,,,427.45
Quarterly,2005-03-31,Other,165706272.7899999917,12.06,427.45
Quarterly,2005-06-30,North America,2915875966.1500000954,207.49,427.38
Quarterly,2005-06-30,Europe,632846000,45.03,427.38
Quarterly,2005-06-30,Asia,,,427.38
Quarterly,2005-06-30,Other,174111997.1599999964,12.39,427.38
Quarterly,2005-09-30,North America,3694994786.1599998474,242.85,439.67
Quarterly,2005-09-30,Europe,708364000,46.56,439.67
Quarterly,2005-09-30,Asia,,,439.67
Quarterly,2005-09-30,Other,191170619.2700000107,12.56,439.67
Quarterly,2005-12-31,North America,5036102833.1800003052,305.34,485.54
Quarterly,2005-12-31,Europe,1048112000,63.55,485.54
Quarterly,2005-12-31,Asia,,,485.54
Quarterly,2005-12-31,Other,295577110.6700000167,17.92,485.54
Quarterly,2006-03-31,North America,7543774213.779999733,403.16,553.43
Quarterly,2006-03-31,Europe,1389915820,74.28,553.43
Quarterly,2006-03-31,Asia,,,553.43
Quarterly,2006-03-31,Other,397894232.6000000238,21.26,553.43
Quarterly,2006-06-30,North America,8538891876.1300001144,432.91,627.11
Quarterly,2006-06-30,Europe,1819185170,92.23,627.11
Quarterly,2006-06-30,Asia,,,627.11
Quarterly,2006-06-30,Other,441470106.9800000191,22.38,627.11
Quarterly,2006-09-30,North America,8655364874.1100006104,449.25,621.66
Quarterly,2006-09-30,Europe,1786439480,92.72,621.66
Quarterly,2006-09-30,Asia,,,621.66
Quarterly,2006-09-30,Other,439933879.6600000262,22.83,621.66
Quarterly,2006-12-31,North America,10574367719.0900001526,517.5,613.86
Quarterly,2006-12-31,Europe,2090121140,102.76,613.86
Quarterly,2006-12-31,Asia,,,613.86
Quarterly,2006-12-31,Other,482648195.3799999952,23.62,613.86
Quarterly,2007-03-31,North America,11679991058.6900005341,548.98,649.6
Quarterly,2007-03-31,Europe,2270866600,106.73,649.6
Quarterly,2007-03-31,Asia,22142030,1.03,649.6
Quarterly,2007-03-31,Other,548770340.8300000429,25.79,649.6
Quarterly,2007-06-30,North America,11091806650.9699993134,530.35,667.21
Quarterly,2007-06-30,Europe,2444467097,116.88,667.21
Quarterly,2007-06-30,Asia,62740760,2.97,667.21
Quarterly,2007-06-30,Other,597152622.7400000095,28.55,667.21
