frequency,date,gold_price_usd_per_oz
Yearly,2003-12-31,363.63869732
Yearly,2004-12-31,409.60916031
Yearly,2005-12-31,445.05673077
Yearly,2006-12-31,604.01730769
Yearly,2007-12-31,696.53984674
Yearly,2008-12-31,871.76660305
Yearly,2009-12-31,972.80747126
Yearly,2010-12-31,1225.59099617
Yearly,2011-12-31,1571.21442308
Yearly,2012-12-31,1667.64693487
Yearly,2013-12-31,1410.3683908
Yearly,2014-12-31,1265.31321839
Yearly,2015-12-31,1159.25249042
Yearly,2016-12-31,1248.38045977
Yearly,2017-12-31,1257.42769231
Yearly,2018-12-31,1269.00517241
Yearly,2019-12-31,1392.47145594
Yearly,2020-12-31,1769.94141221
Yearly,2021-12-31,1798.61954023
Yearly,2022-12-31,1801.50538462
Yearly,2023-12-31,1942.63884615
Yearly,2024-12-31,2387.0759542
Yearly,2025-12-31,3441.44272031
Yearly,2026-07-31,4594.11447368
Quarterly,2003-03-31,351.946875
Quarterly,2003-06-30,346.54846154
Quarterly,2003-09-30,363.09621212
Quarterly,2003-12-31,392.35
Quarterly,2004-03-31,408.58
Quarterly,2004-06-30,393.99923077
Quarterly,2004-09-30,401.36136364
Quarterly,2004-12-31,434.24393939
Quarterly,2005-03-31,427.44765625
Quarterly,2005-06-30,427.38076923
Quarterly,2005-09-30,439.67121212
Quarterly,2005-12-31,485.53923077
Quarterly,2006-03-31,553.43384615
Quarterly,2006-06-30,627.11461538
Quarterly,2006-09-30,621.66307692
Quarterly,2006-12-31,613.85769231
Quarterly,2007-03-31,649.59923077
Quarterly,2007-06-30,667.20692308
Quarterly,2007-09-30,679.83769231
Quarterly,2007-12-31,788.10681818
Quarterly,2008-03-31,923.50153846
Quarterly,2008-06-30,896.10769231
Quarterly,2008-09-30,870.875
Quarterly,2008-12-31,797.73484848
Quarterly,2009-03-31,907.73046875
Quarterly,2009-06-30,920.89615385
Quarterly,2009-09-30,959.9280303
Quarterly,2009-12-31,1099.91666667
Quarterly,2010-03-31,1109.03515625
Quarterly,2010-06-30,1194.38461538
Quarterly,2010-09-30,1226.875
Quarterly,2010-12-31,1368.06439394
Quarterly,2011-03-31,1386.640625
Quarterly,2011-06-30,1507.38076923
Quarterly,2011-09-30,1703.41666667
Quarterly,2011-12-31,1682.54615385
Quarterly,2012-03-31,1688.78461538
Quarterly,2012-06-30,1610.57461538
Quarterly,2012-09-30,1652.22692308
Quarterly,2012-12-31,1718.22348485
Quarterly,2013-03-31,1631.75390625
Quarterly,2013-06-30,1418.08076923
Quarterly,2013-09-30,1327.05909091
Quarterly,2013-12-31,1271.40530303
Quarterly,2014-03-31,1291.62890625
Quarterly,2014-06-30,1288.65
Quarterly,2014-09-30,1281.86742424
Quarterly,2014-12-31,1200.25757576
Quarterly,2015-03-31,1218.15
Quarterly,2015-06-30,1192.46692308
Quarterly,2015-09-30,1124.47045455
Quarterly,2015-12-31,1104.21060606
Quarterly,2016-03-31,1181.89230769
Quarterly,2016-06-30,1259.35769231
Quarterly,2016-09-30,1334.53333333
Quarterly,2016-12-31,1216.41307692
Quarterly,2017-03-31,1218.55923077
Quarterly,2017-06-30,1257.72076923
Quarterly,2017-09-30,1278.02230769
Quarterly,2017-12-31,1275.40846154
Quarterly,2018-03-31,1328.69692308
Quarterly,2018-06-30,1306.27692308
Quarterly,2018-09-30,1212.95538462
Quarterly,2018-12-31,1228.71136364
Quarterly,2019-03-31,1303.440625
Quarterly,2019-06-30,1307.46307692
Quarterly,2019-09-30,1472.94924242
Quarterly,2019-12-31,1482.0469697
Quarterly,2020-03-31,1581.88076923
Quarterly,2020-06-30,1710.42384615
Quarterly,2020-09-30,1909.29621212
Quarterly,2020-12-31,1874.41363636
Quarterly,2021-03-31,1795.52421875
Quarterly,2021-06-30,1814.23
Quarterly,2021-09-30,1789.65833333
Quarterly,2021-12-31,1795.20833333
Quarterly,2022-03-31,1876.27109375
Quarterly,2022-06-30,1873.27
Quarterly,2022-09-30,1728.27878788
Quarterly,2022-12-31,1730.47846154
Quarterly,2023-03-31,1888.72538462
Quarterly,2023-06-30,1976.78230769
Quarterly,2023-09-30,1928.27923077
Quarterly,2023-12-31,1976.76846154
Quarterly,2024-03-31,2071.90615385
Quarterly,2024-06-30,2335.66769231
Quarterly,2024-09-30,2474.85075758
Quarterly,2024-12-31,2660.325
Quarterly,2025-03-31,2855.73203125
Quarterly,2025-06-30,3281.61769231
Quarterly,2025-09-30,3454.69090909
Quarterly,2025-12-31,4153.55984848
Quarterly,2026-03-31,4864.0625
Quarterly,2026-06-30,4512.38692308
Quarterly,2026-07-31,4073.92391304
Monthly,2003-02-28,358.96999817
Monthly,2003-03-31,340.55
Monthly,2003-04-30,328.07272727
Monthly,2003-05-31,355.66590909
Monthly,2003-06-30,356.35238095
