Date,Month,Reserve (10k oz),Reserve (tonnes),Monthly change (10k oz),Monthly change (tonnes)
2016-01-31,2016-01,5718,1778.497,,
2016-02-29,2016-02,5750,1788.45,32,9.953
2016-03-31,2016-03,5779,1797.47,29,9.02
2016-04-30,2016-04,5814,1808.356,35,10.886
2016-05-31,2016-05,5814,1808.356,0,0.0
2016-06-30,2016-06,5862,1823.286,48,14.93
2016-07-31,2016-07,5879,1828.573,17,5.288
2016-08-31,2016-08,5895,1833.55,16,4.977
2016-09-30,2016-09,5911,1838.527,16,4.977
2016-10-31,2016-10,5924,1842.57,13,4.043
2016-11-30,2016-11,5924,1842.57,0,0.0
2016-12-31,2016-12,5924,1842.57,0,0.0
2017-01-31,2017-01,5924,1842.57,0,0.0
2017-02-28,2017-02,5924,1842.57,0,0.0
2017-03-31,2017-03,5924,1842.57,0,0.0
2017-04-30,2017-04,5924,1842.57,0,0.0
2017-05-31,2017-05,5924,1842.57,0,0.0
2017-06-30,2017-06,5924,1842.57,0,0.0
2017-07-31,2017-07,5924,1842.57,0,0.0
2017-08-31,2017-08,5924,1842.57,0,0.0
2017-09-30,2017-09,5924,1842.57,0,0.0
2017-10-31,2017-10,5924,1842.57,0,0.0
2017-11-30,2017-11,5924,1842.57,0,0.0
2017-12-31,2017-12,5924,1842.57,0,0.0
2018-01-31,2018-01,5924,1842.57,0,0.0
2018-02-28,2018-02,5924,1842.57,0,0.0
2018-03-31,2018-03,5924,1842.57,0,0.0
2018-04-30,2018-04,5924,1842.57,0,0.0
2018-05-31,2018-05,5924,1842.57,0,0.0
2018-06-30,2018-06,5924,1842.57,0,0.0
2018-07-31,2018-07,5924,1842.57,0,0.0
2018-08-31,2018-08,5924,1842.57,0,0.0
2018-09-30,2018-09,5924,1842.57,0,0.0
2018-10-31,2018-10,5924,1842.57,0,0.0
2018-11-30,2018-11,5924,1842.57,0,0.0
2018-12-31,2018-12,5956,1852.523,32,9.953
2019-01-31,2019-01,5994,1864.342,38,11.819
2019-02-28,2019-02,6026,1874.296,32,9.953
2019-03-31,2019-03,6062,1885.493,36,11.197
2019-04-30,2019-04,6110,1900.422,48,14.93
2019-05-31,2019-05,6161,1916.285,51,15.863
2019-06-30,2019-06,6194,1926.549,33,10.264
2019-07-31,2019-07,6226,1936.502,32,9.953
2019-08-31,2019-08,6245,1942.412,19,5.91
2019-09-30,2019-09,6264,1948.322,19,5.91
2019-10-31,2019-10,6264,1948.322,0,0.0
2019-11-30,2019-11,6264,1948.322,0,0.0
2019-12-31,2019-12,6264,1948.322,0,0.0
2020-01-31,2020-01,6264,1948.322,0,0.0
2020-02-29,2020-02,6264,1948.322,0,0.0
2020-03-31,2020-03,6264,1948.322,0,0.0
2020-04-30,2020-04,6264,1948.322,0,0.0
2020-05-31,2020-05,6264,1948.322,0,0.0
2020-06-30,2020-06,6264,1948.322,0,0.0
2020-07-31,2020-07,6264,1948.322,0,0.0
2020-08-31,2020-08,6264,1948.322,0,0.0
2020-09-30,2020-09,6264,1948.322,0,0.0
2020-10-31,2020-10,6264,1948.322,0,0.0
2020-11-30,2020-11,6264,1948.322,0,0.0
2020-12-31,2020-12,6264,1948.322,0,0.0
2021-01-31,2021-01,6264,1948.322,0,0.0
2021-02-28,2021-02,6264,1948.322,0,0.0
2021-03-31,2021-03,6264,1948.322,0,0.0
2021-04-30,2021-04,6264,1948.322,0,0.0
2021-05-31,2021-05,6264,1948.322,0,0.0
2021-06-30,2021-06,6264,1948.322,0,0.0
2021-07-31,2021-07,6264,1948.322,0,0.0
2021-08-31,2021-08,6264,1948.322,0,0.0
2021-09-30,2021-09,6264,1948.322,0,0.0
2021-10-31,2021-10,6264,1948.322,0,0.0
2021-11-30,2021-11,6264,1948.322,0,0.0
2021-12-31,2021-12,6264,1948.322,0,0.0
2022-01-31,2022-01,6264,1948.322,0,0.0
2022-02-28,2022-02,6264,1948.322,0,0.0
2022-03-31,2022-03,6264,1948.322,0,0.0
2022-04-30,2022-04,6264,1948.322,0,0.0
2022-05-31,2022-05,6264,1948.322,0,0.0
2022-06-30,2022-06,6264,1948.322,0,0.0
2022-07-31,2022-07,6264,1948.322,0,0.0
2022-08-31,2022-08,6264,1948.322,0,0.0
2022-09-30,2022-09,6264,1948.322,0,0.0
2022-10-31,2022-10,6264,1948.322,0,0.0
2022-11-30,2022-11,6367,1980.358,103,32.037
2022-12-31,2022-12,6464,2010.529,97,30.17
2023-01-31,2023-01,6512,2025.458,48,14.93
2023-02-28,2023-02,6592,2050.341,80,24.883
2023-03-31,2023-03,6650,2068.381,58,18.04
2023-04-30,2023-04,6676,2076.468,26,8.087
2023-05-31,2023-05,6727,2092.331,51,15.863
2023-06-30,2023-06,6795,2113.481,68,21.15
2023-07-31,2023-07,6869,2136.498,74,23.017
2023-08-31,2023-08,6962,2165.424,93,28.926
2023-09-30,2023-09,7046,2191.551,84,26.127
2023-10-31,2023-10,7120,2214.568,74,23.017
2023-11-30,2023-11,7158,2226.387,38,11.819
2023-12-31,2023-12,7187,2235.407,29,9.02
2024-01-31,2024-01,7219,2245.36,32,9.953
2024-02-29,2024-02,7258,2257.49,39,12.13
2024-03-31,2024-03,7274,2262.467,16,4.977
2024-04-30,2024-04,7280,2264.333,6,1.866
2024-05-31,2024-05,7280,2264.333,0,0.0
2024-06-30,2024-06,7280,2264.333,0,0.0
2024-07-31,2024-07,7280,2264.333,0,0.0
2024-08-31,2024-08,7280,2264.333,0,0.0
2024-09-30,2024-09,7280,2264.333,0,0.0
2024-10-31,2024-10,7280,2264.333,0,0.0
2024-11-30,2024-11,7296,2269.31,16,4.977
2024-12-31,2024-12,7329,2279.574,33,10.264
2025-01-31,2025-01,7345,2284.55,16,4.977
2025-02-28,2025-02,7361,2289.527,16,4.977
2025-03-31,2025-03,7370,2292.326,9,2.799
2025-04-30,2025-04,7377,2294.503,7,2.177
2025-05-31,2025-05,7383,2296.37,6,1.866
2025-06-30,2025-06,7390,2298.547,7,2.177
2025-07-31,2025-07,7396,2300.413,6,1.866
